CNE;NoteElmt1;NoteElmt2;NoteModule
16851211;16;5;10.5
16450123;15;6;10.5
16130611;7;11;9
16790103;16;12;14
16630215;6;20;13
16950312;13;14;13.5
16990928;11;12;11.5
16430126;15;18;16.5
16510530;11;11;11
16701206;14;7;10.5
16160104;20;16;18
16201127;9;9;9
16610508;12;17;14.5
16691027;5;12;8.5
16500302;10;17;13.5
16080714;20;14;17
16910723;10;5;7.5
16891209;19;6;12.5
16250402;12;13;12.5
16970209;19;10;14.5
16660206;13;8;10.5
16930503;12;6;9
16220706;7;13;10
16590413;12;8;10
16161018;5;16;10.5
16740317;19;8;13.5
16421018;18;16;17
16671008;16;19;17.5
16160813;7;10;8.5
16860418;15;16;15.5
16270530;5;12;8.5
16400221;13;7;10
