CNE;NoteElmt1;NoteElmt2;NoteModule
184055465;20;16;18
192099972;6;16;11
184193591;20;11;15.5
189832303;5;17;11
162579553;18;9;13.5
163029561;9;15;12
184129068;19;19;19
199755811;17;17;17
163748037;13;20;16.5
193891809;7;6;6.5
188028423;19;7;13
197418906;6;5;5.5
173154218;10;15;12.5
197583893;17;19;18
160602348;11;5;8
176250147;12;19;15.5
173522509;13;16;14.5
172966588;17;8;12.5
162164213;17;20;18.5
187172639;11;5;8
178117718;9;19;14
187250062;9;9;9
169218118;13;19;16
166762847;15;9;12
184415891;11;11;11
