CNE;NoteElmt1;NoteElmt2;NoteModule
217976651;10;6;8
168490388;8;17;12.5
193806536;12;10;11
151840168;5;14;9.5
222621514;6;18;12
174516619;14;10;12
227863392;7;13;10
208243362;16;20;18
294939896;7;12;9.5
221874850;8;19;13.5
262115203;19;20;19.5
246484900;19;13;16
227958143;16;5;10.5
258112876;9;6;7.5
196721747;9;15;12
280556550;8;6;7
259743180;13;8;10.5
186435843;14;9;11.5
183147600;6;18;12
265715842;14;18;16
187969093;10;15;12.5
248552948;12;15;13.5
152814419;16;18;17
236724591;20;7;13.5
241611430;6;18;12
275827428;17;6;11.5
153938534;6;17;11.5
180686372;5;20;12.5
191821000;14;19;16.5
259847563;14;7;10.5
