ID;CNE;DateofBirth;FirstName;LastName;ClasseName;Phone;Email
1;16960326;2002-02-05;Nash;Sharp;AP1;07 90 60 45 16;Integer.vulputate.risus@in.net
2;16190909;2002-03-29;Ayers;Juarez;AP1;09 49 28 66 09;dolor.Fusce@Nullamfeugiatplacerat.net
3;16140917;2003-01-26;Manning;Mcclain;AP1;03 47 15 16 88;morbi@sempercursusInteger.edu
4;16611129;2002-02-15;Christian;Frost;AP1;04 69 22 24 74;Vestibulum.ante@sit.net
5;16710306;2002-11-04;Cross;Poole;AP1;09 34 76 58 52;tincidunt@utipsumac.org
6;16321018;2003-01-06;Hart;Farmer;AP1;04 29 31 76 18;ultricies.ornare.elit@Sednunc.com
7;16900109;2002-08-27;Schroeder;Cross;AP1;04 81 61 33 46;lorem@sedleoCras.net
8;16451027;2002-03-13;Blankenship;Velasquez;AP1;01 57 56 94 06;tempus.risus@quis.co.uk
9;16260505;2002-03-29;Christensen;Graham;AP1;09 42 88 12 85;dui.Cras.pellentesque@conubianostraper.com
10;16840512;2002-09-06;Anderson;Woods;AP1;04 73 22 77 39;enim.Suspendisse@eu.ca
11;16400812;2002-04-09;Sandoval;Wagner;AP1;09 00 73 93 57;mi.fringilla@Integervitae.com
12;16620114;2002-09-28;Curtis;Middleton;AP1;09 11 11 69 82;nec@odioNaminterdum.net
13;16630421;2002-09-25;Tyler;Morgan;AP1;08 87 09 67 57;Proin.eget@enim.co.uk
14;16260719;2002-10-06;Bartlett;Owen;AP1;06 59 14 26 10;eget@Nuncmauris.org
15;16220810;2002-08-11;Allen;Kramer;AP1;08 42 66 04 03;et@magnaUt.co.uk
16;16620924;2002-06-15;Lawrence;Le;AP1;07 80 84 37 78;mollis.nec.cursus@nuncQuisque.co.uk
17;16670803;2002-04-19;King;Goff;AP1;05 56 40 73 70;facilisis.Suspendisse.commodo@euodio.com
18;16910623;2002-03-08;Gould;Davis;AP1;08 93 54 90 19;tellus.Phasellus.elit@volutpatNulladignissim.org
19;16831007;2003-01-02;Christian;Oconnor;AP1;05 01 23 50 82;eros.Proin@sed.net
20;16710804;2003-01-06;Hooper;Hudson;AP1;07 89 89 78 46;ac.tellus@Aliquamornare.org
21;16220417;2002-07-20;Curry;Dejesus;AP1;09 16 33 78 00;arcu@dapibusidblandit.ca
22;16561208;2002-11-29;Blackburn;Glover;AP1;01 43 68 50 51;vitae.sodales.at@non.net
23;16890119;2002-03-06;Church;Reilly;AP1;07 69 11 65 84;risus.quis@liberoMorbiaccumsan.co.uk
24;16071009;2002-03-22;Stephenson;Rose;AP1;04 27 61 31 15;sit.amet@anteblandit.org
25;16730502;2002-08-26;Chavez;Adams;AP1;05 74 55 46 43;quam.dignissim.pharetra@aenimSuspendisse.net
26;16420108;2003-01-17;Boyer;Chen;AP1;03 54 99 25 37;convallis.ligula@magnaLoremipsum.edu
27;16211229;2002-10-03;Osborne;Trujillo;AP1;08 01 25 96 11;velit.eget.laoreet@nascetur.com
28;16830606;2002-03-24;Watson;French;AP1;08 26 86 98 37;non.egestas.a@euaugue.edu
29;16700925;2002-08-03;Gentry;Stout;AP1;09 00 87 57 84;ullamcorper.velit@sollicitudinorci.edu
30;16090106;2002-12-14;Mack;Wallace;AP1;06 96 92 14 98;Proin.velit@dis.co.uk
31;16110903;2002-04-06;Mccullough;Orr;AP1;05 35 06 37 51;convallis.in@faucibusorciluctus.co.uk
32;16970303;2002-10-17;Merritt;Le;AP1;04 36 04 57 25;dui.augue.eu@etrutrum.net
33;16240406;2002-06-09;Fuentes;Hanson;AP1;09 21 51 50 71;urna@etmalesuada.edu
34;16440328;2002-08-10;Stokes;Porter;AP1;01 46 51 94 26;Nullam.lobortis.quam@pellentesqueafacilisis.com
35;16790120;2002-05-28;Underwood;Green;AP1;01 07 90 32 57;Morbi.non.sapien@fermentum.com
36;16220130;2002-03-29;Walton;Cain;AP1;08 65 98 09 81;rhoncus@velitegetlaoreet.edu
37;16430701;2002-09-07;Pittman;Mccarthy;AP1;03 55 35 21 75;nec@elitfermentumrisus.com
38;16390813;2002-12-23;Wilkins;Levy;AP1;08 97 16 19 56;vel.quam.dignissim@suscipitnonummyFusce.com
