 ID;CNE;DateofBirth;FirstName;LastName;ClasseName;Phone;Email
1;16851211;2002-08-15;Lynch;Knowles;AP2;01 27 66 52 31;lobortis@eu.com
2;16450123;2002-06-02;Figueroa;Gamble;AP2;08 91 85 71 49;ut.dolor.dapibus@felis.net
3;16130611;2002-03-28;Craig;Manning;AP2;02 14 98 65 04;magna.Phasellus.dolor@necmetus.co.uk
4;16790103;2003-01-29;Mcdowell;Byrd;AP2;02 95 39 28 92;ipsum.ac.mi@dictum.co.uk
5;16630215;2002-10-10;Whitfield;Woods;AP2;07 02 34 94 07;dolor@lacinia.edu
6;16950312;2002-10-04;Colon;Hartman;AP2;07 57 66 35 57;nec.imperdiet.nec@arcuVestibulum.co.uk
7;16990928;2002-04-19;Sweeney;Whitley;AP2;07 52 66 87 75;nulla.vulputate@auctornuncnulla.net
8;16430126;2002-12-02;Dickson;Cantrell;AP2;06 99 77 92 63;Sed.molestie.Sed@sodalesnisimagna.com
9;16510530;2002-12-02;Johnson;Kerr;AP2;07 36 84 75 89;ultrices@nequeNullam.net
10;16701206;2002-09-25;Mcdowell;Mccullough;AP2;04 66 70 93 99;pede.ultrices@dictummi.com
11;16160104;2002-06-27;Tyson;Mcintosh;AP2;07 89 99 82 58;magna@accumsan.org
12;16201127;2002-08-20;Rose;Villarreal;AP2;03 96 26 81 26;orci.adipiscing.non@iaculislacus.org
13;16610508;2002-10-02;Reid;Fisher;AP2;08 97 33 21 53;ullamcorper.Duis@Inornare.org
14;16691027;2002-03-10;Glenn;Thompson;AP2;07 16 40 37 32;sit@Nullam.ca
15;16500302;2002-05-24;Gutierrez;Coleman;AP2;02 02 85 10 47;nonummy@orcitincidunt.ca
16;16080714;2002-07-12;Duncan;Chambers;AP2;05 89 65 75 63;eleifend@idlibero.net
17;16910723;2002-09-10;Strong;Oconnor;AP2;03 12 31 58 90;libero.Proin@lacuspedesagittis.co.uk
18;16891209;2002-03-16;Langley;Mccullough;AP2;07 00 58 04 78;consequat.lectus@porttitorscelerisqueneque.ca
19;16250402;2002-08-17;Durham;Vaughan;AP2;03 06 37 96 17;Donec@ipsum.co.uk
20;16970209;2002-12-01;Perry;Levy;AP2;03 75 31 08 21;nulla.Integer.urna@quis.org
21;16660206;2002-03-14;Lawrence;Espinoza;AP2;09 30 21 59 83;at@nuncnulla.net
22;16930503;2002-07-30;Freeman;Vaughn;AP2;02 68 34 47 98;Suspendisse@amet.co.uk
23;16220706;2002-11-29;Torres;Parsons;AP2;04 47 92 51 70;lobortis.tellus.justo@vel.com
24;16590413;2002-09-27;Gilbert;Owen;AP2;04 73 34 12 35;sagittis.lobortis@egestasDuis.co.uk
25;16161018;2002-08-05;Hodge;Grant;AP2;04 89 81 94 11;tempor@luctus.org
26;16740317;2002-10-04;Gibbs;Parrish;AP2;07 13 43 96 72;hendrerit@Donecfelisorci.com
27;16421018;2002-04-29;Hurst;Alford;AP2;07 94 27 18 37;semper.pretium.neque@Maurisquis.org
28;16671008;2002-06-11;Robertson;Blake;AP2;09 39 17 51 30;pede.Nunc.sed@magnaSuspendisse.edu
29;16160813;2002-07-07;George;Harris;AP2;08 29 04 82 88;euismod.enim.Etiam@eunibh.edu
30;16860418;2002-09-19;Mcpherson;Cruz;AP2;04 44 63 23 62;est@Aliquam.co.uk
31;16270530;2002-10-13;Calderon;Whitehead;AP2;08 63 40 26 88;Morbi.accumsan@nibh.edu
32;16400221;2002-08-15;Tyler;Castillo;AP2;05 22 72 00 78;arcu.Vestibulum.ante@pretiumnequeMorbi.net
