ID;CNE;DateofBirth;FirstName;LastName;ClasseName;Phone;Email
1;371389830;1998-04-28;Mcknight;Rodgers;G3EI2;01 60 02 69 66;ligula@utlacus.com
2;348290556;1998-02-14;Wise;Neal;G3EI2;01 47 61 63 20;consectetuer.cursus.et@tellus.net
3;321331598;1998-10-05;Wise;Slater;G3EI2;07 28 41 20 85;iaculis.quis.pede@Curabitur.co.uk
4;250033501;1998-06-26;Berry;Brooks;G3EI2;01 35 91 59 98;imperdiet@vulputateveliteu.edu
5;200836891;1998-02-05;Hatfield;Hopkins;G3EI2;03 60 79 04 32;molestie.arcu.Sed@semper.com
6;296306314;1998-05-19;Bryan;Finley;G3EI2;05 04 84 20 22;tincidunt.nibh.Phasellus@mauris.org
7;234091048;1998-04-06;Chavez;Adkins;G3EI2;05 59 55 42 23;tempor@nuncnullavulputate.edu
8;202105242;1998-03-04;Summers;Dorsey;G3EI2;02 08 19 95 43;mauris.Integer@vellectus.co.uk
9;312006938;1998-03-16;Cline;Sandoval;G3EI2;01 52 65 49 31;rutrum.justo.Praesent@enim.net
10;394623604;1998-05-21;Flores;Terrell;G3EI2;05 76 26 69 13;ipsum.sodales.purus@velfaucibusid.com
11;279070875;1998-11-02;Singleton;Morgan;G3EI2;05 13 35 75 80;gravida.molestie@placerat.co.uk
12;331208967;1998-08-14;Mccall;Mosley;G3EI2;06 67 67 30 85;ac.orci@Nullasemper.org
13;328593126;1998-08-23;David;Cervantes;G3EI2;05 51 65 19 26;blandit.enim.consequat@velitjustonec.com
14;396076748;1998-03-15;Hutchinson;Hicks;G3EI2;06 18 00 52 59;dictum.augue.malesuada@aliquetsem.com
15;245788572;1998-03-28;Santos;Alford;G3EI2;04 20 50 00 97;tempus@Phasellusat.org
16;294409700;1998-10-24;Glover;Wilson;G3EI2;05 74 54 21 69;amet.risus.Donec@maurisSuspendisse.ca
17;391261235;1998-09-18;Fischer;Kennedy;G3EI2;01 41 85 29 14;mi.lacinia@scelerisque.co.uk
18;194440161;1998-09-25;Ballard;Savage;G3EI2;06 25 03 23 71;lacinia.vitae.sodales@elitAliquamauctor.org
19;209480800;1998-07-12;Tyson;Patel;G3EI2;07 61 85 24 74;eros.Proin.ultrices@odioPhasellusat.net
20;292595643;1998-08-14;Weaver;Berger;G3EI2;01 53 72 38 38;molestie.pharetra@adipiscingelitEtiam.com
21;212109963;1998-08-18;Griffin;Cotton;G3EI2;02 71 67 66 06;Cras.convallis@Sednullaante.net
22;312111967;1998-10-14;Case;Keller;G3EI2;02 98 00 39 62;molestie@posuere.org
23;190672409;1998-12-31;Eaton;Fowler;G3EI2;07 34 75 05 65;cursus.et@inceptoshymenaeos.com
24;240451161;1998-12-27;Roberson;Molina;G3EI2;06 70 78 09 47;Donec.egestas.Duis@liberoDonec.ca
25;358488890;1998-11-18;Bonner;Briggs;G3EI2;08 26 88 28 87;quam@malesuada.com
26;375569446;1998-03-03;Summers;Mccray;G3EI2;04 15 83 58 89;convallis.est@tempusnon.com
27;260617309;1998-12-24;Schwartz;Hickman;G3EI2;01 84 72 63 22;tristique@lobortis.edu
28;392304192;1998-02-03;Oneil;Richardson;G3EI2;01 61 10 62 63;ipsum.Suspendisse@sitametante.org
29;318503192;1998-07-11;Monroe;Swanson;G3EI2;06 74 50 68 89;mi.felis.adipiscing@nisl.ca
