ID;CNE;DateofBirth;FirstName;LastName;ClasseName;Phone;Email
1;283355686;1998-10-02;Cantrell;Clarke;GIND2;03 35 33 44 68;mi@nisidictumaugue.edu
2;309067056;1998-07-02;Alvarez;Booker;GIND2;06 05 73 48 85;In.mi@ullamcorpervelitin.com
3;236881363;1998-10-18;Joyner;Phelps;GIND2;07 47 78 68 12;rutrum.non@porttitorinterdumSed.org
4;368905187;1998-02-26;Morrison;Rose;GIND2;04 40 87 50 80;et@PhasellusornareFusce.org
5;351715605;1998-03-04;Matthews;Herrera;GIND2;05 85 32 56 26;felis.Donec.tempor@ornare.ca
6;378475489;1998-04-26;Guy;Bass;GIND2;06 56 62 70 26;morbi@Maecenasiaculisaliquet.net
7;172067145;1998-10-14;Dennis;Whitley;GIND2;07 74 57 09 25;nec@natoquepenatibus.org
8;317028235;1998-02-10;Richard;Sanford;GIND2;04 32 31 25 97;Donec.feugiat.metus@Quisque.org
9;230546152;1998-03-10;Norton;Le;GIND2;09 65 90 61 46;ultricies.ornare.elit@Nullam.com
10;211378519;1998-06-09;Frederick;French;GIND2;07 35 85 99 46;dictum.placerat@cursusnon.edu
11;318868734;1998-05-22;Horne;Yates;GIND2;01 06 67 06 78;est@miac.co.uk
12;308506202;1998-06-04;Osborn;Bruce;GIND2;06 72 14 64 27;augue.porttitor@etnetus.ca
13;229103066;1998-10-13;Graves;Silva;GIND2;05 63 39 29 34;ut.lacus@orciDonecnibh.net
14;391710418;1998-04-04;Mitchell;Juarez;GIND2;07 27 18 51 29;Duis.cursus@Intinciduntcongue.net
15;390918715;1998-04-04;Pate;Abbott;GIND2;06 77 27 34 21;fringilla.Donec@eleifendvitae.edu
16;293129196;1998-02-18;Tyson;Hansen;GIND2;05 41 97 63 74;Donec.consectetuer.mauris@Phasellusvitae.ca
17;211525000;1998-08-01;Watts;Newton;GIND2;06 09 10 67 14;vel.arcu@IntegermollisInteger.edu
18;334621497;1998-08-21;Gilmore;Frank;GIND2;05 06 57 00 59;at@ametconsectetueradipiscing.edu
19;185900126;1998-11-02;Knowles;Bauer;GIND2;05 37 55 49 80;sociis.natoque.penatibus@mauriseuelit.com
20;199106875;1998-12-28;Palmer;Buchanan;GIND2;06 73 18 81 60;vestibulum.neque@Nunc.net
21;276489345;1998-09-19;Steele;Duke;GIND2;01 99 75 96 09;convallis.dolor.Quisque@enim.org
22;317290823;1998-11-13;Ross;Hickman;GIND2;01 58 15 34 76;Duis@Aliquam.co.uk
23;200573861;1998-12-06;Bright;Velazquez;GIND2;07 14 22 62 59;risus.at.fringilla@tempuseuligula.co.uk
24;196705814;1998-04-19;Jimenez;Coleman;GIND2;05 05 31 93 26;id.risus.quis@Etiamimperdiet.net
25;177953921;1998-09-16;Carlson;Clay;GIND2;01 28 17 18 71;non.justo.Proin@torquentperconubia.org
26;223914060;1998-03-31;Lyons;Moore;GIND2;07 73 65 32 65;facilisi@Maecenasmifelis.co.uk
27;173892305;1998-02-16;Stark;Mclean;GIND2;02 29 99 64 44;Vivamus.nibh.dolor@etrutrumeu.com
