ID;CNE;DateofBirth;FirstName;LastName;ClasseName;Phone;Email
1;187349082;1997-10-09;Wade;Sellers;GINF3;09 16 83 52 98;lectus@arcuCurabitur.net
2;195003603;1997-07-11;Crosby;Rosario;GINF3;09 38 70 01 97;Donec@a.co.uk
3;181385492;1997-07-28;Odom;Jenkins;GINF3;09 08 78 58 99;vulputate@adipiscingfringilla.co.uk
4;191593229;1997-09-22;Walters;Lucas;GINF3;05 90 92 11 36;consectetuer.euismod@ullamcorper.edu
5;184388256;1997-02-11;Cruz;Lambert;GINF3;04 14 96 95 40;non.feugiat.nec@atauctorullamcorper.net
6;191834513;1997-02-28;Oliver;Yates;GINF3;09 39 78 46 09;sit.amet@asollicitudinorci.ca
7;173799304;1997-06-15;Pate;Kline;GINF3;02 41 57 67 44;in@Morbiaccumsan.net
8;178729539;1997-09-14;Mcpherson;Carroll;GINF3;02 32 58 90 14;pellentesque.eget.dictum@convallisest.net
9;187793784;1997-10-06;Conley;Cobb;GINF3;06 22 54 89 58;Aliquam@posuere.org
10;198012327;1997-03-31;Noel;Fuller;GINF3;05 35 78 39 14;non@magnaCrasconvallis.com
11;174873310;1997-06-29;Delgado;Hudson;GINF3;03 45 88 33 87;malesuada.vel.convallis@ultricesposuerecubilia.com
12;186455166;1997-01-12;Bentley;Ross;GINF3;08 17 18 21 30;est@Nuncsed.ca
13;193026033;1997-02-03;Larson;Potts;GINF3;06 41 19 34 32;Cras.interdum.Nunc@enimNunc.org
14;189876898;1997-02-18;Oconnor;Hopkins;GINF3;08 34 20 86 52;erat.neque@laoreetlectus.org
15;184092273;1997-01-21;Tyler;Savage;GINF3;02 98 23 46 62;massa.Suspendisse.eleifend@nonenim.com
16;163263347;1997-09-03;Lynch;Kidd;GINF3;03 64 83 64 23;nec.tellus@lectusquismassa.edu
17;160178804;1997-06-20;Dickerson;Boyer;GINF3;04 62 32 29 10;Suspendisse.commodo@estac.net
18;161373907;1997-07-05;Sparks;Merrill;GINF3;07 11 01 98 90;nonummy.Fusce@Donecat.org
19;173921748;1997-10-31;Tucker;Elliott;GINF3;08 90 39 99 25;vel.turpis.Aliquam@acmi.com
20;196061530;1997-09-11;Mcconnell;Dyer;GINF3;09 06 64 09 53;turpis@risusquis.co.uk
21;193710775;1997-04-21;Calderon;Gallegos;GINF3;01 75 18 36 60;elit@ipsum.ca
22;161551408;1997-01-07;Finley;Bray;GINF3;05 49 65 26 71;et.ultrices.posuere@nonmagna.org
23;191342069;1997-09-21;Crane;Robbins;GINF3;04 28 72 83 15;iaculis.quis.pede@Sedetlibero.net
24;180806967;1997-07-17;Farmer;Lucas;GINF3;06 74 00 95 37;semper.pretium@odiosagittissemper.org
25;182146215;1997-03-19;Holcomb;Navarro;GINF3;07 68 27 90 57;Cras.lorem@senectuset.org
26;176851333;1997-07-30;Whitney;Hooper;GINF3;01 22 04 25 69;Phasellus@laciniaatiaculis.com
