ID;CNE;DateofBirth;FirstName;LastName;ClasseName;Phone;Email
1;217976651;1998-11-02;Cunningham;Walls;GSEA2;01 98 15 38 15;eu.dui@fames.com
2;168490388;1998-08-14;Walter;Davis;GSEA2;03 62 33 36 36;ultricies.ligula@lobortisquis.edu
3;193806536;1998-08-23;Howe;Hudson;GSEA2;09 26 07 62 45;ipsum.nunc.id@semperauctor.co.uk
4;151840168;1998-03-15;Chan;Wallace;GSEA2;06 79 51 33 14;Donec@euarcu.net
5;222621514;1998-03-28;Herring;Booker;GSEA2;04 20 70 22 80;cursus.et.magna@Duisatlacus.co.uk
6;174516619;1998-10-24;Whitfield;Harvey;GSEA2;08 21 70 73 31;Suspendisse@ut.edu
7;227863392;1998-09-18;Sellers;Sutton;GSEA2;09 76 13 84 32;feugiat@quama.net
8;208243362;1998-09-25;Shaw;Hewitt;GSEA2;05 34 42 26 93;Phasellus@blanditNam.com
9;294939896;1998-07-12;Simpson;Kemp;GSEA2;05 20 10 92 12;massa.Quisque.porttitor@velarcu.edu
10;221874850;1998-08-14;Mooney;Gutierrez;GSEA2;03 70 62 81 63;orci@eleifendegestasSed.com
11;262115203;1998-08-18;Moody;Gates;GSEA2;08 80 67 41 59;vulputate.velit.eu@auctor.com
12;246484900;1998-10-14;Gray;Atkinson;GSEA2;08 21 19 22 09;non.egestas@sedduiFusce.edu
13;227958143;1998-12-31;Freeman;Cross;GSEA2;07 66 80 80 12;nec.tempus.mauris@dolor.org
14;258112876;1998-12-27;Parsons;Woodward;GSEA2;04 89 17 64 92;Donec.at@pulvinararcu.com
15;196721747;1998-11-18;Ingram;Hart;GSEA2;07 70 53 02 48;vulputate.nisi@In.net
16;280556550;1998-03-03;Oneill;Irwin;GSEA2;04 12 73 02 66;eleifend@mollislectuspede.com
17;259743180;1998-12-24;Kerr;Anthony;GSEA2;05 91 51 99 17;posuere.enim.nisl@nonluctussit.com
18;186435843;1998-02-03;Bowen;Michael;GSEA2;06 25 62 87 16;ante.Nunc@lorem.com
19;183147600;1998-07-11;Garrison;Welch;GSEA2;09 56 64 06 91;Mauris.non@miDuis.edu
20;265715842;1998-04-20;Phillips;Norman;GSEA2;08 71 20 95 09;rhoncus@estvitaesodales.edu
21;187969093;1998-09-11;Carver;Calhoun;GSEA2;04 56 71 89 00;lorem.semper@vitaesemperegestas.edu
22;248552948;1998-06-06;Hampton;Dejesus;GSEA2;06 97 28 41 82;erat@Phasellus.co.uk
23;152814419;1998-05-16;Buckley;Holder;GSEA2;02 79 05 38 30;imperdiet.dictum@nulla.net
24;236724591;1998-06-07;Dillon;Skinner;GSEA2;04 59 17 82 66;semper.Nam@Donecdignissimmagna.co.uk
25;241611430;1998-10-02;Lowe;Burke;GSEA2;08 51 37 45 07;mollis@iderat.net
26;275827428;1998-07-02;Burch;Mcintosh;GSEA2;03 17 01 17 95;Maecenas.mi.felis@variusultrices.edu
27;153938534;1998-10-18;Fuentes;Gallagher;GSEA2;07 70 95 83 70;Quisque.imperdiet@euismodmauriseu.org
28;180686372;1998-02-26;Monroe;Hanson;GSEA2;08 82 82 68 40;tortor.Integer@bibendum.co.uk
29;191821000;1998-03-04;Frye;Mcgee;GSEA2;04 27 92 10 34;ut.aliquam.iaculis@odio.org
30;259847563;1998-04-26;Warren;Flynn;GSEA2;05 06 82 27 60;sodales.purus@Phasellusdapibus.net
