ID;CNE;DateofBirth;FirstName;LastName;ClasseName;Phone;Email
1;247531668;1999-05-15;Norman;West;GSTR1;08 80 03 22 29;sem@pharetraNamac.edu
2;214699024;1999-02-16;Butler;Hale;GSTR1;03 91 64 09 85;sagittis.felis.Donec@Suspendissecommodotincidunt.edu
3;227531549;1999-03-19;Watts;Davidson;GSTR1;01 09 79 62 93;semper.egestas@nec.com
4;271065834;1999-09-13;Evans;Burton;GSTR1;05 54 86 04 10;arcu.Vivamus@ut.net
5;271003620;1999-08-08;Horne;Morrison;GSTR1;04 54 75 74 72;sit.amet.orci@Sedpharetra.net
6;266770209;1999-04-23;Aguilar;Odonnell;GSTR1;01 95 52 28 78;ullamcorper.magna@et.org
7;224520568;1999-09-09;Boyle;Golden;GSTR1;05 14 85 26 35;fermentum.vel@afacilisisnon.edu
8;195307711;1999-03-26;Manning;Manning;GSTR1;04 33 13 97 25;Proin.mi@neceuismod.ca
9;227893607;1999-02-04;Holden;Gamble;GSTR1;05 12 55 28 00;ultrices.Duis@Fuscealiquet.com
10;255759846;1999-07-17;Holden;Kaufman;GSTR1;08 08 04 84 66;Mauris.non.dui@Donectempor.net
11;273094493;1999-05-27;Livingston;Leonard;GSTR1;02 27 12 39 75;metus.In@nisiCum.com
12;299450023;1999-04-22;Riddle;Hubbard;GSTR1;02 34 12 69 26;lacus.pede@ideratEtiam.edu
13;297218245;1999-04-14;Parrish;Frye;GSTR1;06 44 79 84 92;a@Vestibulumante.org
14;238488274;1999-08-14;Spence;Hendrix;GSTR1;05 35 69 98 15;mauris@Proinvelit.org
15;257732857;1999-09-09;Cantu;Cook;GSTR1;07 37 54 06 96;nec@tellusjusto.co.uk
16;273107665;1999-10-14;Solomon;Pace;GSTR1;09 52 41 07 89;consectetuer.adipiscing@nonsollicitudin.net
17;256555331;1999-11-23;Hardin;Eaton;GSTR1;09 04 86 42 94;sollicitudin@Craspellentesque.com
18;208824502;1999-11-16;Lee;Levy;GSTR1;03 89 67 38 87;Quisque@massaIntegervitae.ca
19;198687278;1999-10-01;Collins;Reed;GSTR1;02 56 03 90 74;tempor.diam@loremac.net
20;257932061;1999-03-08;Murray;Cline;GSTR1;04 41 00 57 57;scelerisque.lorem.ipsum@pretiumetrutrum.org
21;227131978;1999-08-04;Savage;Park;GSTR1;07 75 92 45 81;libero.et@mollisnon.org
22;248315811;1999-07-22;Jacobson;Moore;GSTR1;01 24 22 47 44;auctor.quis.tristique@imperdietornare.org
23;218872153;1999-05-14;Cortez;Fisher;GSTR1;08 50 11 71 56;Phasellus@Curabitursedtortor.edu
24;191797231;1999-06-01;Velazquez;Justice;GSTR1;09 69 34 31 11;Duis@orcilacus.org
25;291531820;1999-07-18;Christian;Downs;GSTR1;04 05 93 44 97;Curabitur.vel@aliquetnecimperdiet.co.uk
